customerID,gender,SeniorCitizen,Partner,Dependents,tenure,tenure_group,Contract,PaymentMethod,InternetService,MonthlyCharges,TotalCharges,Churn,Probabilidad_Churn,Segmento_Riesgo,Ingreso_Mensual_En_Riesgo
7590-VHVEG,0,0,1,0,1,0-12 meses,Month-to-month,Electronic check,DSL,29.85,29.85,No,0.7538,Alto,29.85
5575-GNVDE,1,0,0,0,34,25-48 meses,One year,Mailed check,DSL,56.95,1889.5,No,0.1808,Bajo,0.0
3668-QPYBK,1,0,0,0,2,0-12 meses,Month-to-month,Mailed check,DSL,53.85,108.15,Yes,0.6137,Alto,53.85
7795-CFOCW,1,0,0,0,45,25-48 meses,One year,Bank transfer (automatic),DSL,42.3,1840.75,No,0.1523,Bajo,0.0
9237-HQITU,0,0,0,0,2,0-12 meses,Month-to-month,Electronic check,Fiber optic,70.7,151.65,Yes,0.8392,Alto,70.7
9305-CDSKC,0,0,0,0,8,0-12 meses,Month-to-month,Electronic check,Fiber optic,99.65,820.5,Yes,0.8965,Alto,99.65
1452-KIOVK,1,0,0,1,22,13-24 meses,Month-to-month,Credit card (automatic),Fiber optic,89.1,1949.4,No,0.6262,Alto,89.1
6713-OKOMC,0,0,0,0,10,0-12 meses,Month-to-month,Mailed check,DSL,29.75,301.9,No,0.4344,Medio,0.0
7892-POOKP,0,0,1,0,28,25-48 meses,Month-to-month,Electronic check,Fiber optic,104.8,3046.05,Yes,0.6973,Alto,104.8
6388-TABGU,1,0,0,1,62,49-72 meses,One year,Bank transfer (automatic),DSL,56.15,3487.95,No,0.1342,Bajo,0.0
9763-GRSKD,1,0,1,1,13,13-24 meses,Month-to-month,Mailed check,DSL,49.95,587.45,No,0.3584,Medio,0.0
7469-LKBCI,1,0,0,0,16,13-24 meses,Two year,Credit card (automatic),No,18.95,326.8,No,0.0888,Bajo,0.0
8091-TTVAX,1,0,1,0,58,49-72 meses,One year,Credit card (automatic),Fiber optic,100.35,5681.1,No,0.3882,Medio,0.0
0280-XJGEX,1,0,0,0,49,49-72 meses,Month-to-month,Bank transfer (automatic),Fiber optic,103.7,5036.3,Yes,0.5992,Medio,0.0
5129-JLPIS,1,0,0,0,25,25-48 meses,Month-to-month,Electronic check,Fiber optic,105.5,2686.05,No,0.6115,Alto,105.5
3655-SNQYZ,0,0,1,1,69,49-72 meses,Two year,Credit card (automatic),Fiber optic,113.25,7895.15,No,0.1187,Bajo,0.0
8191-XWSZG,0,0,0,0,52,49-72 meses,One year,Mailed check,No,20.65,1022.95,No,0.0611,Bajo,0.0
9959-WOFKT,1,0,0,1,71,49-72 meses,Two year,Bank transfer (automatic),Fiber optic,106.7,7382.25,No,0.2759,Bajo,0.0
4190-MFLUW,0,0,1,1,10,0-12 meses,Month-to-month,Credit card (automatic),DSL,55.2,528.35,Yes,0.4146,Medio,0.0
4183-MYFRB,0,0,0,0,21,13-24 meses,Month-to-month,Electronic check,Fiber optic,90.05,1862.9,No,0.7071,Alto,90.05
8779-QRDMV,1,1,0,0,1,0-12 meses,Month-to-month,Electronic check,DSL,39.65,39.65,Yes,0.8313,Alto,39.65
1680-VDCWW,1,0,1,0,12,0-12 meses,One year,Bank transfer (automatic),No,19.8,202.25,No,0.1569,Bajo,0.0
1066-JKSGK,1,0,0,0,1,0-12 meses,Month-to-month,Mailed check,No,20.15,20.15,Yes,0.566,Medio,0.0
3638-WEABW,0,0,1,0,58,49-72 meses,Two year,Credit card (automatic),DSL,59.9,3505.1,No,0.0878,Bajo,0.0
6322-HRPFA,1,0,1,1,49,49-72 meses,Month-to-month,Credit card (automatic),DSL,59.6,2970.3,No,0.1872,Bajo,0.0
6865-JZNKO,0,0,0,0,30,25-48 meses,Month-to-month,Bank transfer (automatic),DSL,55.3,1530.6,No,0.2866,Bajo,0.0
6467-CHFZW,1,0,1,1,47,25-48 meses,Month-to-month,Electronic check,Fiber optic,99.35,4749.15,Yes,0.6715,Alto,99.35
